ID_Sankce,ID_kontroly,Vyse_pokuty,Zákon,Paragraf,Datum_nabyti_Pravni_Moci
66070,241303190400901,2000,Syst.RAPEX,Rapex,3/19/2013
68001,241305180400902,1000,Syst.RAPEX,Rapex,5/18/2013
64226,301212040013801,0,Zák. 102/2001,§7,2/1/2013
64228,301212040013801,0,Zák. 102/2001,§5,2/1/2013
64246,401211080557301,5000,Zák. 102/2001,§4,2/22/2013
64267,401211010557301,8000,Zák. 102/2001,§5,2/1/2013
64269,401211010557301,0,Zák. 102/2001,§3,12/31/2012
64272,401211080555601,15000,Zák. 102/2001,§5,1/15/2013
64273,401211080555601,0,Zák. 102/2001,§7,1/8/2013
64285,401211160555602,10000,Zák. 102/2001,§5,1/16/2013
64286,401211160555602,0,Zák. 102/2001,§7,12/19/2012
64339,311207250602901,3000,Zák. 102/2001,§5,3/12/2013
64356,241301230405401,2000,Zák. 102/2001,§5,2/13/2013
64371,401211220557301,0,Zák. 102/2001,§7,3/8/2013
64372,401211220557301,4000,Zák. 102/2001,§7,3/8/2013
64458,101210090911901,15000,Zák. 102/2001,§5,6/14/2013
64492,221210220252801,5000,Zák. 102/2001,§5,2/12/2013
64499,221209030028701,4000,Zák. 102/2001,§5,2/7/2013
64500,221210220252801,0,Zák. 102/2001,§5,2/12/2013
64503,221210100018602,1000,Zák. 102/2001,§4,2/9/2013
64768,221211210020802,0,Zák. 102/2001,§5,2/20/2013
64769,221211210020802,2000,Zák. 102/2001,§5,2/20/2013
64915,241302010406001,2000,Zák. 102/2001,§4,2/27/2013
65077,221212110252601,0,Zák. 102/2001,§7,2/27/2013
65079,221211240020701,0,Zák. 102/2001,§7,2/23/2013
65105,221212050028701,5000,Zák. 102/2001,§5,2/27/2013
65106,221212050028701,0,Zák. 102/2001,§5,2/27/2013
65107,221212110252601,20000,Zák. 102/2001,§5,2/27/2013
65154,101210300902001,50000,Zák. 102/2001,§3,3/20/2013
65416,311205220550602,0,Zák. 102/2001,§7,11/27/2012
65417,311205220550602,20000,Zák. 102/2001,§3,3/27/2013
65535,401212120555601,4000,Zák. 102/2001,§4,4/20/2013
65536,401212040555601,3000,Zák. 102/2001,§4,4/23/2013
65655,221303050250201,1000,Zák. 102/2001,§5,3/5/2013
