ID_zakazu,ID_kontroly,Sortiment,Mnozstvi,Jednotka,Cena_celkem,Dle_zakona
69842,301201030809201,Měřidla v obchodním styku,1,kus,0,
69843,301201030009601,Měřidla v obchodním styku,1,kus,0,
69844,301201040808101,Měřidla v obchodním styku,1,kus,0,64/1986 §7 odst 1b) - Inspektorský zákaz pro neověřená MĚŘIDLA
69845,211201050105301,Délková měřidla,1,kus,0,64/1986 §7 odst 1b) - Inspektorský zákaz pro neověřená MĚŘIDLA
69846,211201050104901,Ostatní (zahrnuje zboží i služby) – blíže nespecifikované a nerozlišov,3,kus,126,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69847,211201050104901,Ostatní (zahrnuje zboží i služby) – blíže nespecifikované a nerozlišov,11,kus,231,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69848,211201050104901,Ostatní (zahrnuje zboží i služby) – blíže nespecifikované a nerozlišov,1,kus,49,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69849,211201050104901,Ostatní (zahrnuje zboží i služby) – blíže nespecifikované a nerozlišov,3,kus,153,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69850,211201050104901,Ostatní (zahrnuje zboží i služby) – blíže nespecifikované a nerozlišov,13,kus,117,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69851,211201050104901,Ostatní (zahrnuje zboží i služby) – blíže nespecifikované a nerozlišov,2,kus,198,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69852,211201050104901,Ostatní (zahrnuje zboží i služby) – blíže nespecifikované a nerozlišov,9,kus,351,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69853,211201030105901,Délková měřidla,1,kus,0,64/1986 §7 odst 1b) - Inspektorský zákaz pro neověřená MĚŘIDLA
69854,211201040103501,Výrobky kožené a textilní galanterie,3,kus,2097,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69855,211201040103501,Výrobky kožené a textilní galanterie,1,kus,999,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69856,211201040103501,Výrobky kožené a textilní galanterie,2,kus,1200,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69857,301201030802201,Zapalovače,18,kus,630,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69858,301201030802201,Zapalovače,1,kus,25,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69859,401201040555601,Délková měřidla,1,kus,0,64/1986 §7 odst 1b) - Inspektorský zákaz pro neověřená MĚŘIDLA
69861,211201060104001,Hmotnostní měřidla v OBCHODNÍM STYKU (váhy),1,kus,0,64/1986 §7 odst 1b) - Inspektorský zákaz pro neověřená MĚŘIDLA
69862,271201050016301,"Výhradně pro Kontroly značení - Obuv a textil; jinak 01.091x-tex, 01.092x-obuv",20,kus,1380,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69863,271201050016301,"Výhradně pro Kontroly značení - Obuv a textil; jinak 01.091x-tex, 01.092x-obuv",16,kus,4000,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
